-0.000000,inf,inf,inf,inf,1.985146,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.935601,1.629048,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.292484,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.856786,inf,inf,inf,inf,inf,inf,inf,inf,0.346574,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.346574,2.138333,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.346574,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,1.647918,2.776480,3.074234,3.500623,inf,3.380786,2.792499,inf,3.695091,3.001944,3.583519,3.439678,3.178054,2.612873,2.441401,3.054624,3.727360,3.074234,inf,2.805834,3.359507,2.628748,inf,2.288385,2.197225,2.620874,2.861793,2.831480,2.612024,3.295837,3.847196,3.325786,3.329647,3.380786,3.128834,3.289626,inf,3.855327,3.156774,2.846866,2.913632,3.190400,2.774816,3.804435,3.469627,2.735294,3.716833,3.128834,3.695091,3.162179,inf,2.745295,3.970114,3.439678,3.830528,2.631581,3.838932,3.660594,2.926101,3.227599,3.321895,2.876286,2.879135,3.695091,2.484907,4.018933,2.943052,3.034213,3.093104,inf,2.778800,2.943052,3.813285,2.515219,2.484907,inf,2.846866,3.666512,3.162179,3.001944,3.636199,2.905998,3.370260,2.768899,3.027220,inf,3.660594,inf,2.957137,2.702566,3.139073,2.623033,2.714673,3.830528,2.680646,2.543798,3.034213,3.074234,3.093104,3.463779,3.821981,inf,2.782260,2.644134,2.764715,inf,3.236945,3.085104,2.842717,3.225709,3.963662,3.614919,3.145785,2.490556,3.006683,2.890372,2.978437,2.905998,inf,3.457862,3.152407,2.890372,3.145785,3.475407,2.926101,3.706080,3.380786,2.975321,3.314021,2.561982,2.502452,3.583519,3.255129,3.378699,3.720367,3.139073,2.915648,3.263979,2.061258,2.778138,2.634959,2.818821,2.807907,3.232961,4.013085,3.483955,3.289626,3.500623,inf,inf,3.289626,3.569433,2.995232,2.534452,3.215666,2.764715,inf,3.104094,inf,3.321113,2.900681,3.130746,2.687639,2.387829,2.720827,2.855875,3.359507,3.099239,2.822471,3.295837,2.813296,3.120138,inf,inf,inf,3.838932,3.102279,3.054624,3.380786,3.492358,3.466712,3.015343,3.328106,2.714673,2.773564,3.297890,2.981533,2.695904,2.406092,2.357461,3.123053,2.998226,3.116364
inf,2.776480,1.689633,2.536693,2.288119,2.714453,2.150098,3.339485,2.776480,3.234625,3.437358,2.632639,2.208990,2.462175,2.624639,inf,2.517083,3.123053,2.960342,2.899041,3.352820,inf,2.717588,2.965127,2.835371,2.776480,3.402861,2.670825,2.920321,2.786789,2.360831,2.784744,3.211894,2.725340,3.469627,2.668368,3.031893,3.064162,3.944167,inf,3.628854,3.282280,3.279241,2.940732,3.088557,3.211894,2.477561,3.256368,3.217674,3.090784,2.971212,inf,2.620413,2.513433,2.555563,3.572795,2.397108,2.405511,3.749435,3.217674,2.546217,2.808749,3.311700,3.223389,3.234625,2.967976,3.068053,3.378466,2.664908,3.875092,3.469627,2.473412,2.541478,3.352820,2.873558,3.378466,2.776480,inf,2.715631,3.597594,3.234625,3.031893,2.725340,2.832719,3.175734,3.462634,2.685319,3.200129,3.287305,2.546714,inf,3.339485,3.361515,3.006246,2.676915,2.913328,3.783931,2.920321,3.019234,3.181945,3.003313,inf,3.175734,2.524527,2.477561,2.271980,inf,3.045978,2.701714,3.234625,3.426121,2.732974,3.154454,2.541478,3.026306,2.869531,3.384677,3.222355,3.071914,3.875092,3.200129,3.006246,3.104870,2.608244,inf,3.564248,3.448347,inf,inf,3.402861,2.997396,2.591293,3.672360,2.794664,2.516486,2.860647,2.560413,2.790766,2.771244,2.136013,2.640986,2.429906,2.240161,2.577207,3.398877,2.950633,3.066995,2.728825,2.963082,3.266894,2.548101,3.031893,3.031893,2.646338,2.969866,3.101774,3.277204,3.200129,3.304506,inf,2.328292,2.658823,2.820333,3.123053,2.573747,2.839980,3.749435,3.101774,3.246971,2.988387,3.104870,3.528518,3.555552,4.141494,3.910822,2.927217,3.469627,2.732974,2.554137,3.064162,2.713898,2.659672,2.816501,3.070373,3.699393,2.929171,inf,2.902137,2.963082,3.188080,3.394861,2.441671,2.783999,2.791866
inf,3.074234,2.536693,1.525229,2.330460,3.267621,2.178354,2.741360,2.727661,3.185806,inf,2.381087,2.304012,2.812610,2.450162,3.174569,2.198765,2.668769,2.708790,inf,inf,inf,2.668769,2.713575,inf,2.524928,inf,2.699081,2.668769,2.722584,2.583820,2.991338,2.960342,2.911523,inf,inf,2.668769,3.361916,2.887897,2.738650,inf,3.723876,3.139261,2.689180,2.602003,2.960342,2.337581,2.860975,2.966123,2.559424,3.692615,inf,2.438742,2.197965,2.316060,inf,2.348288,2.130699,3.151309,inf,2.371741,2.609878,2.602003,inf,2.727661,3.174569,inf,inf,2.871502,3.623540,inf,2.322195,2.433767,inf,inf,inf,2.636500,3.723876,2.699081,3.346042,inf,2.847107,2.473789,2.455510,3.676221,inf,2.492659,2.948577,3.035754,2.157943,inf,3.231775,inf,3.101268,2.974670,2.561441,3.532380,2.727661,2.564949,2.818821,2.810653,3.659270,inf,2.854551,2.278690,2.399271,inf,2.727661,2.541323,3.329647,3.015343,2.328731,2.850222,2.231035,3.068647,3.012208,inf,3.620444,3.369668,3.623540,3.295151,2.754694,2.583820,2.780341,inf,inf,2.738650,inf,3.361916,3.497883,3.295151,2.416816,inf,2.948577,2.280086,2.609096,2.427056,2.561441,2.383725,2.204001,2.374508,2.151321,2.261881,2.325656,2.844258,2.530845,2.660365,2.524928,2.711530,2.871502,2.205388,2.500533,2.713575,2.335895,2.415247,3.196795,3.025652,2.804736,3.196795,inf,2.384621,2.841790,2.867699,3.218075,2.948577,3.001767,3.844457,3.105635,3.062185,3.286141,2.853318,3.479699,3.304000,3.196795,3.659270,2.491803,3.329647,2.736835,2.689180,2.668769,2.492659,2.368099,2.752296,2.616089,3.101268,2.957427,3.684485,3.074234,2.533193,inf,inf,2.411036,2.632782,2.644134
inf,3.500623,2.288119,2.330460,1.866556,2.686558,2.445516,2.762284,2.951317,3.154049,3.958768,2.604743,2.504408,2.892425,2.529977,3.142813,2.402011,2.951317,3.135179,3.073878,3.324924,3.073878,2.892425,2.937231,3.356782,2.951317,3.577698,2.720005,3.095158,2.850055,2.504408,2.665688,2.896316,2.756336,3.297890,2.934366,2.748584,2.815350,3.079283,3.276610,3.457117,3.254385,3.285841,2.657423,2.651506,3.242890,2.521216,2.660982,3.739085,2.919047,2.764979,inf,2.715079,2.485538,2.489481,3.401058,2.262425,2.324935,3.028392,3.189779,2.392664,2.718272,2.860156,3.051652,3.154049,2.907811,2.837425,3.003997,2.748584,3.500623,3.186318,2.279449,2.473561,4.076963,3.048395,2.860156,2.604743,3.345545,2.778896,inf,3.612195,3.047503,2.726024,2.881898,3.476228,3.637471,2.919047,3.028392,3.038493,2.416096,3.269311,2.887941,2.766130,3.181083,2.811731,2.832752,3.062888,2.807476,2.761572,2.951317,2.922737,3.739085,3.899877,2.803184,2.604743,2.634163,inf,3.042477,2.776215,3.409462,3.095158,2.659593,3.108374,2.402011,3.148463,3.000862,3.279706,3.444847,3.246751,3.245210,3.374966,2.901275,2.707140,2.860156,3.045938,inf,2.871145,3.991037,3.788305,3.924272,3.721539,2.699364,3.847196,3.028392,2.527369,2.701570,2.661948,2.800483,2.584122,2.369741,2.578931,2.374977,2.389352,2.558658,3.115569,2.731241,2.968560,2.557088,2.613008,3.018082,2.443130,2.700929,2.897210,2.618443,2.623976,2.973543,3.105467,2.825659,3.132769,inf,2.453909,2.902735,2.925288,3.055136,2.825659,2.984504,3.297890,2.982717,3.016343,3.509797,2.807476,3.279706,3.730389,3.511612,3.536352,2.755481,3.350571,2.739575,2.513582,2.653963,2.639240,2.690668,2.809885,2.850981,3.324924,3.037242,3.417727,3.245210,2.756849,3.107504,3.314285,2.519430,2.741177,2.763970
1.985146,inf,2.714453,3.267621,2.686558,1.867946,2.769454,3.444031,2.881026,3.339171,3.195330,2.803950,3.286491,inf,inf,3.530667,inf,3.227599,3.267621,3.003587,3.803939,inf,3.024867,3.069673,3.286491,3.430332,inf,3.401753,2.881026,3.472911,2.765764,3.067628,3.316440,2.752811,3.574173,2.864075,3.829586,3.371440,3.702140,3.003587,2.928681,3.733400,3.495358,3.045278,2.958101,3.239365,inf,3.563646,2.772914,inf,3.152833,1.985146,3.093759,3.614194,3.209415,3.219196,3.330767,4.032318,3.049262,2.772914,3.074412,3.259869,3.762820,2.981361,inf,3.530667,2.740100,inf,3.227599,3.633064,3.227599,3.776905,2.881026,3.201953,2.978104,3.483012,inf,3.184094,3.166751,3.152833,inf,4.176159,3.523033,3.360914,3.405937,4.116486,3.541904,3.507407,3.594584,2.803950,3.401753,3.790605,3.210649,3.254633,4.023915,3.143531,3.541904,3.574173,4.163500,3.286491,3.859898,4.015367,3.829586,2.975647,3.386826,3.010781,2.331720,3.083758,3.052498,3.430332,3.184094,3.810475,3.664465,2.789865,3.424745,3.546643,3.377652,3.552893,3.176460,3.174919,inf,3.110792,2.899896,2.992597,2.975647,3.668794,2.616992,3.116028,3.168708,3.160834,2.958101,3.322220,3.430332,3.448516,3.524430,2.965193,3.444031,3.423339,2.789865,3.339171,3.520831,2.972186,3.816927,3.780366,3.156850,3.401753,3.271876,2.992597,inf,3.371440,2.652646,3.280280,3.010781,3.366956,3.277145,3.409052,3.381750,3.049262,2.819725,2.331720,3.143531,3.063756,3.729597,3.920746,3.448516,3.232208,3.304675,2.941005,3.004944,3.184094,3.031078,3.489223,4.006672,3.273085,3.210649,3.325657,3.405937,3.136439,2.842545,2.913295,2.915522,3.313524,2.890735,3.286491,3.254633,inf,3.235864,3.083758,3.491277,3.495358,3.243994,3.172599,3.047771,3.309751
inf,3.380786,2.150098,2.178354,2.445516,2.769454,1.386294,2.845180,inf,2.943052,3.145785,2.341066,2.037998,2.282174,2.612873,3.134548,2.446426,2.628748,2.871502,inf,inf,inf,2.772589,2.817395,inf,2.687639,inf,2.547488,2.831480,2.985631,2.587304,3.095158,3.123053,3.329647,inf,inf,3.086893,inf,3.103288,3.503348,2.644134,3.683854,3.445813,2.995732,2.796984,3.266894,2.297560,3.167527,2.467956,2.799211,2.679639,inf,2.577059,2.413356,2.634959,3.627796,2.731916,2.316671,2.908556,inf,2.601218,2.975321,3.020127,2.931816,3.145785,inf,inf,3.086893,2.831480,3.583519,3.178054,2.576067,2.740319,inf,3.208366,inf,2.596478,inf,3.117205,inf,inf,2.884160,2.433767,2.618221,inf,inf,2.452637,inf,3.198465,2.282174,inf,3.394486,inf,inf,2.385342,2.824487,3.492358,3.034213,2.871502,2.890372,3.463779,inf,inf,2.926101,2.401380,2.167753,inf,2.831480,2.704034,3.838932,3.369550,2.561982,2.988538,2.484907,2.937465,3.430332,inf,4.129729,2.636500,inf,inf,3.061246,2.746531,2.943052,inf,inf,2.698629,3.524627,3.321895,3.457862,3.255129,2.926101,inf,2.561982,2.412938,2.477914,2.421531,2.824487,2.511940,2.484907,2.599801,2.341066,2.083733,2.660787,2.851891,2.914473,2.875757,2.740319,3.297890,3.178054,2.186646,2.884160,2.908556,2.589767,2.678293,3.012933,3.188363,2.908556,3.359507,inf,2.198106,2.418141,2.707097,3.524627,3.255129,3.588127,3.804435,3.268346,2.752666,3.043387,2.890372,3.786251,3.610553,3.849921,inf,2.635644,3.636199,3.134548,2.995732,3.066482,2.799211,2.511940,3.218075,2.890372,3.263979,2.714673,inf,3.236945,2.951317,inf,3.652594,2.776480,2.795493,2.846866
inf,2.792499,3.339485,2.741360,2.762284,3.444031,2.845180,1.665008,3.250645,2.812910,3.159484,2.904071,3.106804,3.538327,2.371160,2.280947,2.865591,2.768104,2.885201,inf,2.651297,3.373206,2.845180,2.687253,2.557498,2.008192,2.634573,2.470027,3.394486,2.711648,3.309536,3.056177,2.713104,3.892653,3.394486,inf,3.100593,inf,3.064307,2.746825,2.580758,2.860566,3.112939,2.721750,3.013416,3.059678,3.004407,2.631920,inf,2.735835,3.175879,inf,2.696413,3.010858,2.877038,3.294922,2.692935,2.653684,3.124988,2.939801,2.691993,2.642447,2.543412,3.148248,3.362217,3.004407,3.483326,3.303325,inf,2.648658,3.191753,2.701339,2.812910,3.277678,2.417347,2.754019,2.812910,3.095567,3.477478,inf,3.362217,3.100593,2.506358,2.925814,3.649899,3.040919,3.015643,inf,2.956752,2.557498,2.470027,2.637963,2.449386,2.584531,3.151080,2.737851,2.557498,2.845180,3.087934,3.250645,3.333637,3.489107,3.649899,3.142533,2.927331,2.687253,inf,3.139073,3.032038,3.708790,3.148248,2.778414,3.026632,2.812910,2.663483,3.300190,3.029728,3.103708,2.996773,inf,inf,3.624252,2.904071,3.159484,3.142533,2.390495,2.746825,inf,3.538327,2.701339,2.666842,2.593227,3.047912,3.471561,2.895772,3.000898,2.858879,2.897078,2.839944,2.653684,2.927805,2.729918,2.784866,3.051373,2.865591,3.222066,3.151080,3.159484,3.311590,3.394486,2.688351,3.303325,3.033827,3.008932,2.894725,3.117793,2.946650,3.327720,2.882791,inf,3.099811,3.202063,3.549910,4.087633,2.498606,3.255253,3.471561,3.484778,2.929076,3.809126,3.106804,3.150309,3.480411,4.066353,inf,3.257541,3.394486,3.004407,2.721750,3.047912,2.701339,2.728372,3.029042,3.341806,2.931105,2.787264,3.311590,2.904071,2.887941,3.315671,2.515001,2.713104,3.358499,3.063298
inf,inf,2.776480,2.727661,2.951317,2.881026,inf,3.250645,1.392506,2.249905,2.543798,2.890372,2.746531,2.831480,inf,3.337281,3.401197,3.034213,2.727661,2.666359,2.368099,inf,inf,inf,3.093104,inf,inf,inf,inf,inf,2.949263,3.500623,inf,2.983073,inf,3.128834,2.943052,inf,3.508753,3.012933,inf,2.735294,2.843827,2.361477,inf,3.123053,2.846866,2.397305,2.782260,2.655370,inf,inf,inf,inf,3.988984,inf,inf,inf,3.314021,inf,inf,3.178054,3.222860,inf,inf,2.990707,inf,inf,2.687639,3.093104,inf,inf,2.596478,3.120138,2.861793,2.943052,inf,2.644134,3.319938,3.162179,inf,inf,inf,inf,3.492358,3.576526,3.348517,inf,3.054624,inf,inf,inf,3.475407,2.570832,3.483955,3.027220,inf,3.236945,3.276967,3.439678,3.319938,inf,3.289626,2.782260,3.540013,2.876286,inf,3.236945,2.671765,3.001944,3.481122,2.812370,inf,inf,3.342930,2.563031,inf,2.703413,3.532380,2.890372,inf,2.714673,3.093104,3.145785,3.128834,2.782260,inf,inf,3.178054,3.314021,2.764715,3.128834,inf,3.457862,3.836844,3.923099,inf,3.576526,3.722124,2.943052,3.607252,inf,3.623540,inf,inf,3.666512,3.483955,inf,inf,inf,3.610553,3.289626,2.596478,3.250645,inf,3.562239,2.697949,2.967447,2.589284,inf,3.321113,inf,inf,inf,inf,inf,inf,inf,3.851278,inf,3.642410,3.988984,3.466712,2.554788,2.579528,3.041109,3.034213,2.899546,2.708050,2.831480,3.001944,3.466712,2.871502,3.236945,inf,inf,inf,3.093104,3.154049,inf,3.162179,2.979212,2.998226,3.396172
inf,3.695091,3.234625,3.185806,3.154049,3.339171,2.943052,2.812910,2.249905,1.675323,3.113515,3.695091,3.001944,2.943052,inf,inf,2.963463,2.740319,2.839232,2.777931,inf,inf,inf,inf,inf,inf,inf,3.319938,inf,3.299935,3.060835,3.958768,inf,3.185806,2.943052,inf,2.774816,3.086893,3.273751,2.921772,inf,3.193440,2.955398,3.166196,2.764715,3.437358,2.846866,3.481831,3.037673,inf,3.417592,inf,3.661585,2.983073,2.818081,3.248953,2.525493,2.533897,3.425592,inf,2.992597,inf,inf,inf,3.460089,inf,4.130505,inf,2.596478,3.551250,3.145785,2.722136,2.505318,3.578283,3.869244,3.401197,3.054624,3.025204,3.319938,2.927178,inf,3.401197,inf,3.481831,3.492358,3.688098,3.460089,2.876286,2.963463,3.001944,inf,inf,3.586979,3.172818,3.942100,4.034671,3.806662,3.001944,2.882738,2.858102,3.084936,3.586979,3.401197,3.384247,3.305011,3.131699,inf,3.492358,2.580604,2.870761,3.683854,2.876286,3.929224,2.910783,3.049037,3.051489,inf,2.946167,3.297378,2.924868,3.222860,3.375551,3.295837,inf,2.782260,2.547258,3.268346,2.865977,3.636199,3.222860,2.876286,3.240406,3.348517,3.222860,2.975461,3.229952,3.506058,2.964638,2.981322,2.851891,2.966785,2.746531,2.762157,2.846177,3.624341,2.973364,2.872067,3.257356,2.919047,3.492358,3.095743,3.198465,3.222860,2.812910,inf,3.673811,3.299935,2.799211,2.980664,inf,2.883379,3.299935,3.536211,inf,3.569433,4.249005,3.569433,2.921772,3.336468,3.560424,3.060835,3.030523,3.578283,2.666359,2.614024,2.806108,2.910783,3.054624,2.708050,3.380786,3.113515,3.578283,3.026579,3.093104,3.924857,3.578283,3.612195,3.897823,3.612195,inf,3.620325,2.888052,3.659104,2.881363
